swimmer,team,time,scaled,meet_id,event,date,taper,snapshot
395502,184,57.11,-0.8954638434946486,132028,F4100Y,1539388800,2,2196655255
395502,184,57.64,-0.6194567118476583,119950,F4100Y,1539993600,2,2196655255
395502,184,57.87,-0.49968003207632467,119951,F4100Y,1541203200,2,2196655255
395502,184,56.42,-1.2547938828086531,136124,F4100Y,1542412800,1,2196655255
395502,184,56.59,-1.166263293412448,136124,F4100Y,1542412800,1,2196655255
395502,184,58.69,-0.07265013028286862,138360,F4100Y,1545264000,2,2196655255
395502,184,58.93,0.052334231217656096,119953,F4100Y,1547164800,2,2196655255
395502,184,58.38,-0.23408826388770915,119954,F4100Y,1547251200,2,2196655255
395502,184,57.64,-0.6194567118476583,119957,F4100Y,1548460800,2,2196655255
395502,184,56.9,-1.0048251598076072,142919,F4100Y,1550793600,1,2196655255
395502,184,57.21,-0.843387026202763,143422,F4100Y,1551484800,1,2196655255
395502,184,55.65,-1.655785375956168,143422,F4100Y,1551484800,1,2196655255
395502,184,132.75,0.36023620725873284,136124,F5200Y,1542326400,1,2196655255
395502,184,136.33,1.1868816520335037,141362,F5200Y,1549065600,2,2196655255
330237,184,1046.62,0.044825191006470706,136124,F11650Y,1542499200,1,2196655255
330237,184,1039.34,-0.20651811363570233,143422,F11650Y,1551571200,1,2196655255
330237,184,121.24,1.1194188377924843,119948,F1200Y,1538179200,2,2196655255
330237,184,121.19,1.1091214169320152,132028,F1200Y,1539388800,2,2196655255
330237,184,116.98,0.24207858048046452,136124,F1200Y,1542412800,1,2196655255
330237,184,123.32,1.547791545588025,119954,F1200Y,1547251200,2,2196655255
330237,184,117.47,0.3429933049130669,141362,F1200Y,1549065600,2,2196655255
330237,184,114.87,-0.19247257983135824,143422,F1200Y,1551484800,1,2196655255
330237,184,117.28,0.30386310564328234,143422,F1200Y,1551484800,1,2196655255
330237,184,25.18,0.5385510624802392,119950,F150Y,1539993600,2,2196655255
330237,184,25.81,1.309239802872737,119950,F150Y,1539993600,2,2196655255
330237,184,25.39,0.7954473092777399,119951,F150Y,1541203200,2,2196655255
330237,184,24.98,0.2938879702921452,136124,F150Y,1542326400,1,2196655255
330237,184,25.97,1.504970276623213,119953,F150Y,1547164800,2,2196655255
330237,184,57.18,1.8068105441947848,119948,F1100Y,1538179200,2,2196655255
330237,184,56.62,1.5118107674998418,132028,F1100Y,1539388800,2,2196655255
330237,184,55.36,0.8480612699362238,119950,F1100Y,1539993600,2,2196655255
330237,184,53.95,0.1052939750436041,136124,F1100Y,1542499200,1,2196655255
330237,184,56.73,1.5697571522077765,119957,F1100Y,1548460800,2,2196655255
330237,184,315.64,0.4916759479902002,119951,F1500Y,1541203200,2,2196655255
330237,184,307.88,-0.39022420995530593,136124,F1500Y,1542326400,1,2196655255
330237,184,306.46,-0.5516028471051299,136124,F1500Y,1542326400,1,2196655255
330237,184,310.79,-0.0595116507257379,141362,F1500Y,1549065600,2,2196655255
330237,184,307.53,-0.43000063460491256,143422,F1500Y,1551398400,1,2196655255
